theta;RFC;;KNN;;GNB;;SVM;
0;81.54932;0.957194598;91.3109;0.791474453;88.35693;0.906925976;87.94081;0.899949673
0.012271846;82.27219;0.958445415;91.69003;0.737500013;88.89716;0.848146175;88.65791;0.868451255
0.024543693;82.30351;1.308735004;91.68342;0.727566783;88.87583;0.897655491;88.62087;0.875691186
0.036815539;82.13072;1.104253368;91.68343;0.724396373;88.88153;0.894899944;88.60441;0.875760528
0.049087385;82.24096;1.064569133;91.65219;0.742098561;88.84624;0.911231388;88.58298;0.837232429
0.061359232;82.30838;1.094934498;91.63568;0.742336027;88.83223;0.943711946;88.54935;0.82011613
0.073631078;82.49337;1.138418628;91.61432;0.740329087;88.83055;0.947995911;88.53446;0.82870491
0.085902924;82.21627;0.998992541;91.61679;0.742388999;88.83049;0.978043521;88.53945;0.832661232
0.09817477;82.29357;1.058121177;91.6209;0.746774913;88.81412;0.962681196;88.55178;0.868674353
0.110446617;82.25978;0.996478144;91.61431;0.754682313;88.84127;0.944102165;88.53696;0.882465001
0.122718463;82.19898;1.052137168;91.60693;0.736737989;88.8536;0.963879972;88.51069;0.914346627
0.134990309;82.36595;1.20476276;91.61269;0.739671058;88.81251;0.919010288;88.52059;0.908035452
0.147262156;82.34619;1.100447579;91.61024;0.723901901;88.80346;0.907207004;88.47452;0.904878417
0.159534002;82.30921;0.934424329;91.59703;0.696963392;88.79606;0.911655372;88.43417;0.936212658
0.171805848;82.2549;1.016820805;91.59211;0.70000467;88.7771;0.938378959;88.41938;0.947925902
0.184077695;82.39801;1.157360588;91.57405;0.692915585;88.76236;0.955089687;88.39055;0.962997013
0.196349541;82.36678;1.1520954;91.56907;0.689864367;88.79278;0.942152425;88.37743;0.981277558
0.208621387;82.2862;1.051345918;91.56669;0.686226941;88.76481;0.92212064;88.36841;0.983875511
0.220893233;82.32811;1.085682384;91.5691;0.69865148;88.72859;0.912997099;88.33628;0.966463451
0.23316508;82.30837;1.141101815;91.53625;0.699739142;88.72284;0.900409915;88.32976;0.974692784
0.245436926;82.22283;1.160247784;91.53703;0.709633207;88.71795;0.914307206;88.33305;0.962591361
0.257708772;82.23189;1.262379958;91.52137;0.714569418;88.69895;0.955116834;88.30509;0.965814031
0.269980619;82.29191;1.172196205;91.50911;0.738843893;88.71462;0.936990126;88.28125;0.979549339
0.282252465;82.21217;1.143509633;91.51229;0.726528242;88.75078;0.924221527;88.25165;0.955082534
0.294524311;82.2302;1.01593989;91.50003;0.711781026;88.73844;0.900424403;88.25743;0.933667877
0.306796158;82.15298;1.259063604;91.4844;0.725127713;88.71216;0.918273899;88.23439;0.926525066
0.319068004;82.33633;1.174679123;91.45896;0.744096915;88.71061;0.935291162;88.22369;0.914615413
0.33133985;82.03539;1.165984098;91.44335;0.756190272;88.70309;0.924596886;88.21385;0.882774143
0.343611696;82.20804;1.027697309;91.44572;0.740117938;88.6982;0.893513357;88.20727;0.918767869
0.355883543;82.1949;1.13360977;91.43422;0.743257339;88.71129;0.910353165;88.18667;0.894698497
0.368155389;81.99992;1.092179341;91.39724;0.75964193;88.72038;0.913107242;88.19487;0.899729311
0.380427235;82.10116;1.104154796;91.39309;0.763020237;88.69897;0.89497263;88.20068;0.881952991
0.392699082;82.15045;1.076963123;91.39885;0.759739158;88.72034;0.895845983;88.1842;0.883424394
0.404970928;82.19655;1.200380593;91.38491;0.755272667;88.72532;0.871711442;88.20969;0.887931143
0.417242774;82.19819;1.055643687;91.36757;0.774278364;88.72615;0.832596377;88.20727;0.883317155
0.429514621;82.24016;1.206791819;91.36186;0.763630578;88.7335;0.83354367;88.24178;0.884404801
0.441786467;82.18832;1.065330417;91.35036;0.784545047;88.71956;0.870999877;88.23109;0.876297085
0.454058313;82.17188;1.096969601;91.35363;0.77603158;88.74918;0.852133644;88.26065;0.863588193
0.46633016;82.09615;1.084046054;91.36273;0.773867286;88.70969;0.886595643;88.26397;0.887024481
0.478602006;82.19325;1.160921387;91.34132;0.772186181;88.69979;0.885794054;88.26313;0.91060093
0.490873852;82.0929;1.197765557;91.3207;0.788554583;88.71456;0.87360282;88.29604;0.914087468
0.503145698;82.06744;1.182953983;91.30346;0.798627515;88.6949;0.887027514;88.35275;0.893402411
0.515417545;82.27303;1.056510203;91.30678;0.779117303;88.70398;0.869478683;88.33386;0.867214691
0.527689391;82.16611;1.088904467;91.2944;0.77951009;88.75828;0.887519826;88.33139;0.87370266
0.539961237;82.20066;1.11811979;91.26485;0.788780088;88.79278;0.886101976;88.35281;0.863206889
0.552233084;82.26972;1.121488734;91.25908;0.798968756;88.80342;0.901699653;88.37417;0.869247514
0.56450493;82.33877;1.130333472;91.23851;0.787190911;88.82228;0.880841962;88.43505;0.888536171
0.576776776;82.35362;1.151374264;91.27221;0.793494994;88.82563;0.90927209;88.44574;0.898522383
0.589048623;82.22206;1.099280518;91.28619;0.800838382;88.83549;0.935555722;88.46131;0.894572554
0.601320469;82.33722;1.1795268;91.31084;0.807814282;88.87334;0.904688081;88.51727;0.917094159
0.613592315;82.41612;1.122870084;91.34536;0.809508215;88.87254;0.885410011;88.52961;0.909865868
0.625864161;82.29931;1.09116345;91.35453;0.812776851;88.92676;0.905117088;88.57979;0.924153897
0.638136008;82.39143;1.097680265;91.35531;0.811705164;88.963;0.903506004;88.58966;0.93478617
0.650407854;82.375;1.147892695;91.37339;0.809694842;88.94897;0.875658911;88.6283;0.931807786
0.6626797;82.38978;1.168113963;91.4096;0.79362941;88.95311;0.837146509;88.62904;0.929131325
0.674951547;82.46956;1.227950751;91.41123;0.790224599;88.97364;0.826171562;88.62579;0.944670771
0.687223393;82.44815;1.130572;91.41369;0.798627331;89.00079;0.854981114;88.63564;0.962746213
0.699495239;82.51478;1.120417668;91.41119;0.800147108;89.0181;0.879185811;88.65051;0.977182936
0.711767086;82.36511;1.047155842;91.44001;0.791241347;89.05181;0.871510754;88.69738;0.965089268
0.724038932;82.48272;1.115642838;91.43837;0.789112104;89.0896;0.865697153;88.72363;0.959420801
0.736310778;82.36264;1.192029928;91.44826;0.783511501;89.11107;0.871411318;88.74669;0.938971711
0.748582624;82.35447;1.090757072;91.47373;0.778438371;89.09619;0.889386797;88.78126;0.969543703
0.760854471;82.47203;1.169387741;91.47699;0.781866184;89.10355;0.901021813;88.78536;0.950900242
0.773126317;82.4852;1.124847679;91.47705;0.777948396;89.0773;0.913113985;88.82073;0.944252189
0.785398163;82.56992;1.029655056;91.48115;0.789060585;89.0978;0.884298796;88.85936;0.949993363
0.79767001;82.62257;1.140012397;91.50081;0.772807695;89.09038;0.837585945;88.88975;0.995891976
0.809941856;82.68174;1.236073271;91.51478;0.770801045;89.11759;0.85143795;88.93011;1.024249929
0.822213702;82.65788;1.160355224;91.55103;0.78376913;89.15294;0.884415387;88.95969;1.019724754
0.834485549;82.71296;1.157296461;91.57073;0.796391033;89.16943;0.9328476;88.9877;0.99396435
0.846757395;82.67267;1.15688818;91.58393;0.802443035;89.17267;0.908101471;89.0222;0.981419146
0.859029241;82.68419;1.177186465;91.61265;0.815390463;89.17267;0.903711614;89.05664;0.971747411
0.871301088;82.66112;1.09790427;91.63077;0.817350413;89.16035;0.912632482;89.08552;0.969655243
0.883572934;82.78699;1.222312885;91.6612;0.802014189;89.15792;0.91320177;89.12167;0.967076192
0.89584478;82.75985;1.23032422;91.70237;0.805385419;89.15462;0.914474634;89.11675;0.952718598
0.908116626;82.79521;1.15872002;91.71793;0.812772542;89.13075;0.914070658;89.16609;0.95176307
0.920388473;82.69981;1.07052513;91.72208;0.794478403;89.12583;0.906854443;89.19896;0.942470582
0.932660319;82.65952;1.073128459;91.73193;0.798741588;89.12744;0.922049416;89.21302;0.947394437
0.944932165;82.76724;1.078755571;91.72945;0.785932343;89.16199;0.936375464;89.22775;0.961516088
0.957204012;82.89471;1.083610726;91.74511;0.789578203;89.19154;0.918796914;89.26724;0.934306172
0.969475858;82.7919;1.098229571;91.74673;0.796649344;89.21054;0.905286755;89.30673;0.918887565
0.981747704;82.81414;1.111427137;91.74506;0.789639523;89.21712;0.913801732;89.32322;0.896088585
0.994019551;82.85604;1.057259901;91.74015;0.779857966;89.24254;0.950462145;89.37005;0.873622119
1.006291397;82.84617;1.083339892;91.73359;0.785604215;89.24258;0.946439604;89.34705;0.887467637
1.018563243;82.84125;1.074397974;91.73113;0.785664784;89.25162;0.952706605;89.3207;0.874628933
1.030835089;82.68008;1.07032164;91.72948;0.770390764;89.23354;0.931586812;89.3018;0.857404094
1.043106936;82.6826;1.248467268;91.75493;0.760373412;89.2146;0.945755074;89.30098;0.863302195
1.055378782;82.74256;1.15862852;91.76234;0.754146859;89.20147;0.972106779;89.31746;0.876522235
1.067650628;82.79604;1.123276884;91.75988;0.767928282;89.17762;0.955757844;89.3339;0.842278131
1.079922475;82.64395;1.094060605;91.75738;0.747861401;89.15456;0.914953674;89.34044;0.884904789
1.092194321;82.76393;1.129603694;91.76812;0.716624815;89.14714;0.908536813;89.32398;0.91770468
1.104466167;82.77711;1.091406459;91.76889;0.731088612;89.14307;0.885272006;89.30507;0.934593101
1.116738014;82.75329;1.080198068;91.76818;0.730614774;89.13736;0.883856227;89.2993;0.919415363
1.12900986;82.74667;1.082364884;91.7657;0.71642583;89.13977;0.887113069;89.29027;0.924723352
1.141281706;82.67767;1.112636617;91.74922;0.717073909;89.08635;0.877674317;89.27385;0.890335076
1.153553552;82.68583;1.018512033;91.73768;0.699718542;89.08474;0.889359563;89.25407;0.909166478
1.165825399;82.57729;1.068642993;91.72287;0.704325531;89.10107;0.907486631;89.24013;0.885571055
1.178097245;82.83137;1.089379361;91.73355;0.706357068;89.10276;0.874551578;89.20638;0.891138954
1.190369091;82.6891;1.082313619;91.68671;0.708219377;89.07318;0.898728695;89.16358;0.899388572
1.202640938;82.55343;1.064409172;91.6826;0.694671923;89.02958;0.916143277;89.17762;0.892772309
1.214912784;82.56241;1.011997037;91.67266;0.688102932;89.00322;0.903064401;89.16199;0.91808156
1.22718463;82.64882;1.096582613;91.65213;0.704584099;89.00899;0.888789283;89.1472;0.904860254
1.239456477;82.57319;1.074353626;91.62664;0.718641601;88.98688;0.904369087;89.13233;0.910923631
1.251728323;82.61509;1.083836594;91.60695;0.732412471;88.96055;0.939654781;89.12252;0.909069706
1.264000169;82.56826;1.044383441;91.5666;0.731323089;88.93423;0.884118045;89.07313;0.893571392
1.276272016;82.52216;1.132035942;91.55762;0.729774921;88.9087;0.88603145;89.04112;0.884872254
1.288543862;82.50083;0.984173552;91.54765;0.733833651;88.91369;0.892605576;89.04444;0.860893214
1.300815708;82.42846;1.092544246;91.52797;0.727480865;88.88566;0.919048478;89.05266;0.865851006
1.313087554;82.42184;1.079480094;91.51318;0.733885596;88.84782;0.939077179;89.0304;0.850082078
1.325359401;82.13738;1.051013357;91.49921;0.727673104;88.72689;0.964802891;88.93416;0.847150066
1.337631247;82.22855;1.083744217;91.4753;0.743199132;88.69652;0.886887642;88.87827;0.844288349
1.349903093;82.11842;1.178470748;91.45152;0.738346009;88.66772;0.932768129;88.82977;0.862616854
1.36217494;82.11425;1.053412012;91.4466;0.73634352;88.67433;0.922854084;88.79439;0.855027998
1.374446786;82.12742;1.052223989;91.42601;0.731198913;88.64883;0.928965597;88.76886;0.857629407
1.386718632;82.09626;1.104293445;91.39557;0.734500555;88.65456;0.891802728;88.74507;0.856696075
1.398990479;82.17275;1.066128992;91.38731;0.725894258;88.63073;0.898860577;88.73766;0.868161462
1.411262325;81.86758;1.089558701;91.3635;0.724541034;88.63981;0.884897652;88.73023;0.866946421
1.423534171;82.13985;1.033161646;91.31741;0.731417051;88.59616;0.891790611;88.71957;0.868451614
1.435806017;82.00001;1.004450044;91.27711;0.727101381;88.62413;0.906527657;88.68088;0.851103499
1.448077864;81.86264;1.104060239;91.24507;0.713102745;88.62502;0.895175547;88.65206;0.869612268
1.46034971;82.01559;1.189687245;91.20476;0.701642261;88.60031;0.907670642;88.61841;0.891776038
1.472621556;81.79113;1.157264478;91.17762;0.711759605;88.56249;0.878570378;88.59788;0.860089231
1.484893403;81.77633;1.08167387;91.15706;0.736173007;88.54194;0.893554652;88.57973;0.85602904
1.497165249;81.92273;1.003884683;91.14971;0.750552121;88.50001;0.900317494;88.58471;0.850912431
1.509437095;81.91775;1.031923315;91.12176;0.745009263;88.46213;0.891226511;88.56571;0.860642089
1.521708942;81.92103;1.072033017;91.08309;0.765934633;88.43668;0.908083343;88.54277;0.859979638
1.533980788;81.90951;1.052687841;91.06253;0.770224207;88.4046;0.927105452;88.51644;0.843917346
1.546252634;81.46054;1.15723749;90.93921;0.773276423;88.23844;0.980761615;88.24257;0.953123573
1.55852448;80.94985;1.133849173;90.83881;0.720356824;87.78457;0.952295755;87.58224;0.949544787
1.570796327;80.47785;1.129921284;90.76069;0.729200997;87.33469;0.953164883;87.12664;1.062985565
1.583068173;80.90625;1.157285508;90.79525;0.734036244;87.73849;0.936721106;87.51722;0.933968592
1.595340019;81.30097;1.038649445;90.87994;0.788572544;88.2483;0.968027608;88.14307;0.953509803
1.607611866;81.62172;1.030645119;90.95064;0.748965307;88.27222;0.906428327;88.42191;0.835485932
1.619883712;81.46545;1.228998034;90.93012;0.758947499;88.27633;0.946974879;88.42842;0.845782835
1.632155558;81.61344;1.23678363;90.93998;0.758483698;88.27051;0.894041694;88.41111;0.87324181
1.644427405;81.69239;1.065093347;90.91944;0.761285798;88.28698;0.908954531;88.36343;0.86829979
1.656699251;81.43503;1.053460312;90.90874;0.762461128;88.27713;0.954161744;88.33545;0.873458086
1.668971097;81.5222;1.100638851;90.90294;0.776116059;88.26404;0.948052719;88.31415;0.854392127
1.681242944;81.56331;1.070719223;90.90295;0.773396824;88.24419;0.968285306;88.31819;0.863679787
1.69351479;81.54521;1.153459495;90.9202;0.757300244;88.19901;0.979751882;88.31908;0.83626896
1.705786636;81.52796;1.165842416;90.91203;0.755377514;88.19247;0.990300131;88.30761;0.828111151
1.718058482;81.44571;1.154361575;90.90708;0.772111426;88.18094;0.988046667;88.30098;0.863589914
1.730330329;81.57973;1.051259909;90.88571;0.757539706;88.14635;0.995761592;88.27872;0.868342756
1.742602175;81.44493;1.137027117;90.8824;0.764345589;88.15212;1.000691654;88.26314;0.875616229
1.754874021;81.40127;1.106074851;90.86513;0.772072829;88.13734;1.004380488;88.24754;0.880575805
1.767145868;81.46052;1.170210583;90.84627;0.759206742;88.14392;1.007337507;88.2377;0.875932172
1.779417714;81.47371;1.227773271;90.84381;0.765623742;88.11677;0.989970685;88.24178;0.86649003
1.79168956;81.55921;1.096949473;90.88488;0.72900261;88.08796;1.016988849;88.29932;0.865050783
1.803961407;81.37666;1.138649465;90.90299;0.729315947;88.10448;1.021301801;88.33552;0.869816285
1.816233253;81.39719;1.010415416;90.89556;0.72496759;88.05345;1.004968431;88.30838;0.876624889
1.828505099;81.37172;1.199981217;90.88898;0.726900997;88.05593;1.018452417;88.2993;0.859937131
1.840776945;81.5847;1.01858842;90.86272;0.705535897;88.06905;1.008899781;88.27302;0.844481296
1.853048792;81.50246;1.172241148;90.86022;0.70527689;88.07478;0.994390171;88.25572;0.826365138
1.865320638;81.53784;1.128685738;90.85854;0.700755869;88.06329;0.985005749;88.27549;0.83090012
1.877592484;81.47374;1.143911051;90.85196;0.710132578;88.0847;0.969147713;88.2656;0.841310204
1.889864331;81.51725;1.097377523;90.85278;0.7028162;88.08304;0.972144145;88.25991;0.846212043
1.902136177;81.56329;1.099474868;90.85858;0.710094517;88.08141;0.994476054;88.25331;0.867289152
1.914408023;81.5049;1.194581563;90.84542;0.695815107;88.09125;0.970426395;88.27217;0.876434003
1.92667987;81.48196;1.124676219;90.83639;0.716056435;88.10116;0.937428224;88.26561;0.876483667
1.938951716;81.49183;1.0874222;90.8421;0.714682216;88.10935;0.925425938;88.25823;0.855094215
1.951223562;81.57646;1.125747586;90.82483;0.726435132;88.10528;0.91983154;88.2467;0.8698144
1.963495408;81.56417;1.141605265;90.82732;0.737967369;88.10437;0.911666075;88.23104;0.873007616
1.975767255;81.51974;1.082167765;90.82978;0.728788921;88.10438;0.92982297;88.26314;0.875350342
1.988039101;81.34704;1.105634867;90.8248;0.741775303;88.11676;0.934792524;88.25328;0.865042162
2.000310947;81.56493;1.199059717;90.83391;0.745350348;88.12745;0.901550103;88.24503;0.840910631
2.012582794;81.60936;1.014004236;90.83062;0.743272087;88.12996;0.90892773;88.25655;0.87842925
2.02485464;81.55592;1.107452163;90.84706;0.74056408;88.1217;0.923104777;88.23516;0.892542948
2.037126486;81.62829;1.255748329;90.84952;0.746905101;88.09866;0.934572161;88.22937;0.87290337
2.049398333;81.60116;1.130884519;90.83556;0.743326797;88.12991;0.956673603;88.22289;0.879730889
2.061670179;81.60201;1.123673391;90.82156;0.736327499;88.10528;0.955301377;88.24175;0.890913008
2.073942025;81.34864;1.139677547;90.82238;0.734457729;88.13235;0.943235118;88.23026;0.8636529
2.086213872;81.52795;1.166656028;90.82071;0.727613445;88.11263;0.967848032;88.2204;0.85049535
2.098485718;81.55345;1.177096303;90.81985;0.734296022;88.10937;0.961222832;88.20398;0.845783305
2.110757564;81.60282;1.204679695;90.80837;0.733997175;88.08061;0.953042705;88.17598;0.865440639
2.12302941;81.53454;1.095966947;90.80673;0.716124889;88.0946;0.941104766;88.15542;0.846855787
2.135301257;81.62011;1.099664321;90.8125;0.711358088;88.07567;0.959201502;88.12501;0.845878709
2.147573103;81.64802;1.124039109;90.81413;0.710048092;88.06828;0.964679927;88.1176;0.869488309
2.159844949;81.51567;1.058954542;90.82563;0.703566353;88.06085;0.96399044;88.10934;0.855745899
2.172116796;81.43999;1.102885357;90.8043;0.707385065;88.04107;0.992526566;88.10035;0.856828307
2.184388642;81.48522;1.152978695;90.79772;0.70589675;88.00654;0.991558606;88.11837;0.869493596
2.196660488;81.46053;1.133202898;90.79606;0.703950436;88.00899;0.993184862;88.10527;0.88281648
2.208932335;81.62989;1.120833787;90.78537;0.705821389;88.03619;0.974659681;88.09539;0.888544021
2.221204181;81.50247;1.136815873;90.77551;0.714161613;88.03449;0.99238879;88.10612;0.907296404
2.233476027;81.23356;1.173190192;90.77631;0.724445218;88.03371;0.968454349;88.09625;0.90556575
2.245747873;81.35445;1.060584192;90.7689;0.714715391;88.04778;0.98223453;88.06827;0.927362581
2.25801972;81.45477;1.198990958;90.76157;0.703059475;88.05505;0.975565829;88.04767;0.937779602
2.270291566;81.44654;1.075942437;90.74671;0.677137937;88.04356;0.971056685;88.04441;0.951125103
2.282563412;81.41365;1.013832968;90.74097;0.672168051;88.04193;0.996834041;88.03207;0.978406002
2.294835259;81.38407;1.157942376;90.71132;0.671685014;88.03205;0.987134402;87.97043;0.952790074
2.307107105;81.2656;0.985836193;90.6957;0.670123578;88.03863;0.969137376;87.9523;0.957906159
2.319378951;81.33471;0.998202077;90.6899;0.671807242;88.04684;0.941255021;87.94408;0.964225043
2.331650798;81.43584;1.149105893;90.67841;0.672536677;88.04188;0.938921363;87.94658;0.997337247
2.343922644;81.29519;1.213997238;90.64884;0.661283294;88.01645;0.914175337;87.90299;1.003514838
2.35619449;81.44741;1.15226379;90.64552;0.670928558;88.03704;0.922851656;87.86835;0.998654969
2.368466337;81.23359;1.074488986;90.64309;0.672953076;88.02629;0.94110326;87.8602;0.988774504
2.380738183;81.24261;1.135955614;90.63733;0.681336511;88.03037;0.891757923;87.85773;0.965637498
2.393010029;81.29768;1.03495507;90.61103;0.679475525;88.02965;0.902843579;87.87828;0.950702162
2.405281875;81.25572;1.102774302;90.59788;0.680056355;88.05506;0.893429145;87.87418;0.945251928
2.417553722;81.3281;1.02454323;90.58142;0.686495363;88.04442;0.930146625;87.86018;0.933392376
2.429825568;81.1858;1.022892389;90.57978;0.682921937;88.06171;0.926122673;87.82728;0.92213035
2.442097414;81.16936;1.066917837;90.57075;0.678640308;88.04773;0.914991157;87.81415;0.887563129
2.454369261;81.19496;0.996954482;90.57149;0.677728389;88.04444;0.879213607;87.80342;0.908179797
2.466641107;81.06994;1.136357768;90.55754;0.680297015;88.03617;0.883263268;87.80262;0.907589883
2.478912953;81.03043;1.118717724;90.55594;0.684673788;88.03533;0.910758937;87.81334;0.92130054
2.4911848;81.19988;1.011590246;90.54364;0.685923983;88.05835;0.901978396;87.80016;0.8771896
2.503456646;81.30182;0.960808559;90.51892;0.682862441;88.09626;0.909731275;87.78946;0.882538876
2.515728492;81.20805;1.038582249;90.51065;0.688206108;88.12501;0.922031957;87.80429;0.870652138
2.528000338;80.92766;1.001473147;90.49999;0.702383492;88.15297;0.9265132;87.82895;0.86330345
2.540272185;81.10199;1.104954836;90.50738;0.689764739;88.1628;0.950256113;87.85115;0.879614886
2.552544031;81.12585;1.133465177;90.51317;0.696651836;88.16688;0.940856166;87.85279;0.889993655
2.564815877;81.15786;1.180525866;90.49585;0.687111074;88.17351;0.9642102;87.88162;0.860316276
2.577087724;81.04606;1.034361956;90.50491;0.686429138;88.21134;0.945142542;87.9112;0.851168444
2.58935957;81.065;1.151115641;90.51559;0.702675246;88.2056;0.945556535;87.91359;0.87057774
2.601631416;81.12501;1.041698973;90.51563;0.709267251;88.22777;0.963597352;87.9169;0.837218365
2.613903263;81.15702;1.054466225;90.50825;0.713057787;88.23353;0.983034012;87.94897;0.830750016
2.626175109;81.15379;1.02068637;90.49257;0.718791155;88.24014;1.009987782;87.95889;0.850897172
2.638446955;81.12093;1.108148494;90.4663;0.716191825;88.2303;1.017599533;87.94573;0.831173867
2.650718801;80.93337;1.014380773;90.45481;0.722670156;88.22536;1.004821641;87.94821;0.835354575
2.662990648;81.0543;0.971916884;90.46711;0.720364864;88.24509;0.977110097;87.91943;0.849415732
2.675262494;81.01479;1.172123793;90.44324;0.72522001;88.26478;0.981442098;87.93581;0.856730829
2.68753434;81.0888;1.055749156;90.42848;0.715295107;88.26725;0.964585946;87.91283;0.866021363
2.699806187;81.07977;1.094910726;90.43756;0.715010452;88.30255;0.943940214;87.94243;0.858103015
2.712078033;81.10692;1.127819477;90.42519;0.707903859;88.30837;0.950512942;87.94407;0.880152921
2.724349879;80.9112;1.044660883;90.43913;0.694448251;88.30921;0.965703332;87.95151;0.890809065
2.736621726;81.13485;1.144032809;90.43995;0.701606576;88.34782;0.966413197;87.97363;0.862841001
2.748893572;81.07239;1.088015027;90.43745;0.712481766;88.3939;0.96688429;87.98933;0.84751498
2.761165418;81.13565;1.089502477;90.42681;0.69905686;88.43996;0.935640218;88.01649;0.867514939
2.773437265;81.03287;1.095697893;90.41202;0.679444538;88.46956;0.906713828;87.99179;0.891482533
2.785709111;80.99179;1.138211169;90.42515;0.668103111;88.47202;0.881392046;87.96131;0.903103546
2.797980957;81.0699;1.149051509;90.41861;0.659257793;88.53618;0.882767743;87.93584;0.914962357
2.810252803;81.0822;1.110493386;90.39639;0.657223948;88.5469;0.865985502;87.93171;0.903905717
2.82252465;81.06255;1.153969067;90.3898;0.664356124;88.55262;0.892120909;87.94987;0.903671175
2.834796496;81.1061;1.077735158;90.4029;0.651964102;88.583;0.925230728;87.90953;0.884888156
2.847068342;81.02385;1.007814461;90.41447;0.650199776;88.63404;0.90938688;87.93339;0.892297225
2.859340189;80.94741;0.975027026;90.40956;0.686344656;88.65128;0.883016524;87.93917;0.902234859
2.871612035;80.87501;1.193794048;90.44073;0.697520019;88.69161;0.845768324;87.92271;0.908469155
2.883883881;80.93424;1.054775304;90.47615;0.709123704;88.70471;0.874427622;87.90705;0.943864899
2.896155728;81.11677;1.149822463;90.48849;0.721931749;88.74345;0.860501986;87.88815;0.954793448
2.908427574;80.96709;1.200729762;90.51152;0.723813242;88.78781;0.846984093;87.90952;0.914121234
2.92069942;80.90133;1.215481847;90.51559;0.726014519;88.80008;0.84001296;87.8906;0.921305769
2.932971266;81.00738;1.122879199;90.55841;0.737118486;88.83061;0.827330634;87.91358;0.910571185
2.945243113;80.86931;1.003638079;90.59866;0.746381058;88.81659;0.799943712;87.93744;0.924267973
2.957514959;80.90132;1.124950825;90.64717;0.721422679;88.82231;0.830615611;87.89059;0.87652846
2.969786805;80.85524;1.232272471;90.68422;0.737385728;88.85116;0.829589654;87.90541;0.886984172
2.982058652;81.07402;1.177894078;90.7278;0.762157189;88.82894;0.902654439;87.89967;0.885876606
2.994330498;80.80921;1.143219054;90.77716;0.74560355;88.84786;0.89514047;87.84788;0.917459365
3.006602344;80.8133;1.156407899;90.79273;0.718228806;88.87824;0.876265429;87.82646;0.907481112
3.018874191;80.88902;1.090739428;90.83554;0.731429961;88.89963;0.93424003;87.75413;0.888076198
3.031146037;80.86264;1.133149483;90.8364;0.710087755;88.88732;0.912042969;87.69653;0.926133905
3.043417883;80.60034;1.070506032;90.838;0.715795795;88.88728;0.949062633;87.68014;0.892627885
3.055689729;80.78201;1.030018043;90.80921;0.736599773;88.87087;0.939110703;87.6431;0.929579244
3.067961576;80.50823;1.215227582;90.82984;0.741604783;88.79678;0.892676196;87.64391;0.912504467
3.080233422;80.5025;1.291305661;90.83804;0.737162586;88.73764;0.889083005;87.59866;0.920991826
3.092505268;80.52801;1.167170626;90.78204;0.713768098;88.74336;0.894440088;87.56084;0.913369539
3.104777115;80.41123;1.169993939;90.75904;0.724771977;88.69821;0.936244886;87.59129;0.96386406
3.117048961;80.47536;1.064562319;90.76644;0.746111564;88.66608;0.939689775;87.477;0.985139696
